126000	129000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
126000	129000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
129000	130000	nmhh	ÁLLANDÓHELYŰ				
129000	130000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
129000	130000	nmhh	RÁDIÓNAVIGÁCIÓ				
129000	130000	nmhh	H3		Rádió-irányjeladók (föld-levegő).		
129000	130000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
129000	130000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
129000	130000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
129000	130000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
130000	148500	nmhh	ÁLLANDÓHELYŰ				
130000	148500	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
130000	148500	nmhh	Amatőr				
130000	148500	nmhh	H11		Amatőrrádiózás a 135,7-137,8 kHz sávban.	ECC/REC/(02)01 MSZ EN 301 783-2	2. melléklet IV. fejezet
130000	148500	nmhh	H2		Induktív alkalmazások (SRD) a 130-135 kHz sávban.	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
130000	148500	nmhh	H2		Induktív alkalmazások (SRD) a 135-148,5 kHz sávban.	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	
130000	148500	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
130000	148500	nmhh	H7		Induktív kis hatókörzetű személyhívók a 130-146 kHz sávban.	ECC/REC/(02)01; MSZ EN 300 224-2	
148500	255000	nmhh	MŰSORSZÓRÁS				
148500	255000	nmhh	H12	K	HH rádió-műsorszórás.	A közép- és hosszúhullámú rádióműsorszóró körzeti igazgatási értekezlet (1. és 3. Körzet) (Genf, 1975) záróokirataiITU-R BS.560-4, BS.639 AjánlásT/R 51-01MSZ EN 302 017-2	
148500	255000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
148500	255000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
255000	283500	nmhh	MŰSORSZÓRÁS				
255000	283500	nmhh	H12	K	HH rádió-műsorszórás.	A közép- és hosszúhullámú rádióműsorszóró körzeti igazgatási értekezlet (1. és 3. Körzet) (Genf, 1975) záróokirataiITU-R BS.560-4, BS.639 AjánlásT/R 51-01MSZ EN 302 017-2	
255000	283500	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
255000	283500	nmhh	H4		Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pontI. kötet C melléklet 6. pontV. kötet 3. fejezet 3.2. pontV. kötet B melléklet ICAO Európai Léginavigációs Terv X. rész(COM-4 táblázat)	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
255000	283500	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).		
255000	283500	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
255000	283500	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
283500	315000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
283500	315000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
